run_id,run_name,status,start_time,end_time,artifact_uri,metric.balanced_acc_record,metric.epoch,metric.lr-Adam/pg1,metric.lr-Adam/pg2,metric.multi_alpha,metric.multi_test_acc,metric.multi_test_acc_cm,metric.multi_test_balanced_acc,metric.multi_test_balanced_acc_record,metric.multi_test_balanced_acc_subject,metric.multi_test_bce_loss,metric.multi_test_bce_loss_raw,metric.multi_test_ce_loss,metric.multi_test_f1_c0,metric.multi_test_f1_c1,metric.multi_test_f1_c2,metric.multi_test_f1_macro,metric.multi_test_f1_macro_record,metric.multi_test_f1_macro_subject,metric.multi_test_loss,metric.multi_test_precision_c0,metric.multi_test_precision_c1,metric.multi_test_precision_c2,metric.multi_test_recall_c0,metric.multi_test_recall_c1,metric.multi_test_recall_c2,metric.multi_train_bce_loss,metric.multi_train_bce_loss_raw,metric.multi_train_ce_loss,metric.multi_train_loss,metric.multi_val_acc,metric.multi_val_acc_cm,metric.multi_val_balanced_acc,metric.multi_val_balanced_acc_record,metric.multi_val_balanced_acc_subject,metric.multi_val_bce_loss,metric.multi_val_bce_loss_raw,metric.multi_val_ce_loss,metric.multi_val_f1_c0,metric.multi_val_f1_c1,metric.multi_val_f1_c2,metric.multi_val_f1_macro,metric.multi_val_f1_macro_record,metric.multi_val_f1_macro_subject,metric.multi_val_loss,metric.multi_val_precision_c0,metric.multi_val_precision_c1,metric.multi_val_precision_c2,metric.multi_val_recall_c0,metric.multi_val_recall_c1,metric.multi_val_recall_c2
3b150e257bcd420f9c8d659df6bc6470,lyrical-cat-1000,FINISHED,2026-01-27_01-07-07,2026-01-27_01-27-12,mlflow-artifacts:/665075068361836799/3b150e257bcd420f9c8d659df6bc6470/artifacts,0.8463589549064636,61.0,0.00010838956368572334,0.00010838956368572334,0.00995524600148201,0.8068027496337891,0.8068027496337891,0.802435040473938,0.8463589549064636,0.8783069252967834,0.0,0.0,0.6768266558647156,0.8797034621238708,0.7237985134124756,0.8024289011955261,0.8019769191741943,0.8418240547180176,0.874509871006012,0.6768266558647156,0.9082900285720825,0.6983240246772766,0.8016176223754883,0.8528614044189453,0.7512019276618958,0.8032417893409729,0.0,0.0,0.481033056974411,0.481033056974411,0.873576819896698,0.873576819896698,0.8607938885688782,0.9165655970573425,0.9696969985961914,0.0,0.0,0.4784604012966156,0.9354277849197388,0.7119234204292297,0.8678571581840515,0.8384028077125549,0.8773288726806641,0.8730158805847168,0.4784604012966156,0.985218346118927,0.6335192322731018,0.8565385937690735,0.8904277682304382,0.8124751448631287,0.8794788122177124
6479052daa304540ac633fbd23e88887,magnificent-bear-967,FINISHED,2026-01-27_00-48-25,2026-01-27_01-06-46,mlflow-artifacts:/665075068361836799/6479052daa304540ac633fbd23e88887/artifacts,0.9026010632514954,54.0,0.00014256243679901663,0.00014256243679901663,0.009910075925290585,0.8358136415481567,0.8358136415481567,0.8291422128677368,0.9026010632514954,0.976190447807312,0.0,0.0,0.5553548336029053,0.9104560017585754,0.6590073704719543,0.8404372334480286,0.8033002018928528,0.8599408864974976,0.9209877252578735,0.5553548336029053,0.9841986298561096,0.5499520897865295,0.8636707663536072,0.8469935059547424,0.8220120668411255,0.8184210658073425,0.0,0.0,0.5047881007194519,0.5047881007194519,0.7965080142021179,0.7965080142021179,0.7751336693763733,0.8223723769187927,0.7555555701255798,0.0,0.0,0.6735478639602661,0.865350067615509,0.7371727824211121,0.736149787902832,0.7795575261116028,0.8279511332511902,0.6540403962135315,0.6735478639602661,0.9137028455734253,0.6758832931518555,0.7852131724357605,0.821857750415802,0.8106862902641296,0.6928571462631226
6cf6e05400b3423d96e79284ab75821a,grandiose-worm-380,FINISHED,2026-01-27_00-25-16,2026-01-27_00-48-02,mlflow-artifacts:/665075068361836799/6cf6e05400b3423d96e79284ab75821a/artifacts,0.8709269762039185,73.0,5.592354622896944e-05,5.592354622896944e-05,0.009986499324440956,0.8172421455383301,0.8172421455383301,0.8245294690132141,0.8709269762039185,0.9583333134651184,0.0,0.0,0.6109247803688049,0.8875172734260559,0.7609959244728088,0.826310396194458,0.8249412178993225,0.8737022280693054,0.952136754989624,0.6109247803688049,0.9108781814575195,0.6894176006317139,0.9065721035003662,0.8653247356414795,0.8491593599319458,0.7591043710708618,0.0,0.0,0.4419216811656952,0.4419216811656952,0.8048412799835205,0.8048412799835205,0.7831593155860901,0.8063095808029175,1.0,0.0,0.0,0.697494387626648,0.8890770077705383,0.7754838466644287,0.7074663639068604,0.7906758189201355,0.819198727607727,1.0,0.697494387626648,0.8962867856025696,0.7461866140365601,0.7618629336357117,0.8819824457168579,0.8071757555007935,0.6603198647499084
17664642b9bc4242a7e3e04325cf3077,masked-grouse-819,FINISHED,2026-01-27_00-08-38,2026-01-27_00-24-53,mlflow-artifacts:/665075068361836799/17664642b9bc4242a7e3e04325cf3077/artifacts,0.7660825252532959,35.0,0.00023204222371836402,0.00023204222371836402,0.009413751773536205,0.7410573959350586,0.7410573959350586,0.7729682922363281,0.7660825252532959,0.800000011920929,0.0,0.0,0.8122210502624512,0.8507489562034607,0.7342892289161682,0.7037009596824646,0.7629130482673645,0.7733374238014221,0.7916666865348816,0.8122210502624512,0.8194161653518677,0.6527584195137024,0.8604990243911743,0.8845731019973755,0.8390936851501465,0.5952380895614624,0.0,0.0,0.49795061349868774,0.49795061349868774,0.7830159068107605,0.7830159068107605,0.7353722453117371,0.7514035701751709,0.8333333134651184,0.0,0.0,0.7245340943336487,0.884279727935791,0.7772496342658997,0.585868239402771,0.749132513999939,0.7715230584144592,0.8713449835777283,0.7245340943336487,0.8649667501449585,0.7163141965866089,0.8319727778434753,0.9044747948646545,0.8495162725448608,0.4521256983280182
70f5ad333e404d87933d085321b88142,bustling-skink-831,FINISHED,2026-01-26_23-51-06,2026-01-27_00-08-19,mlflow-artifacts:/665075068361836799/70f5ad333e404d87933d085321b88142/artifacts,0.8552910089492798,49.0,0.00016732269554543794,0.00016732269554543794,0.009852170012891293,0.8274722099304199,0.8274722099304199,0.822422206401825,0.8552910089492798,0.8999999165534973,0.0,0.0,0.6347634792327881,0.8980186581611633,0.7635790109634399,0.8155202269554138,0.8257059454917908,0.857539713382721,0.9074074029922485,0.6347634792327881,0.8761904835700989,0.744070291519165,0.8769063353538513,0.9209622740745544,0.7841382622718811,0.7621662616729736,0.0,0.0,0.47249191999435425,0.47249191999435425,0.8288094401359558,0.8288094401359558,0.8138488531112671,0.8750773072242737,0.9027778506278992,0.0,0.0,0.6057513356208801,0.8920233845710754,0.7963317036628723,0.7592093348503113,0.8158547282218933,0.86434006690979,0.816919207572937,0.6057513356208801,0.9013170599937439,0.7841956615447998,0.7688807845115662,0.8829193115234375,0.8088492155075073,0.749778151512146
718f622d9fb742a09da180682d762493,chill-fly-350,FINISHED,2026-01-26_23-40-04,2026-01-26_23-48-48,mlflow-artifacts:/665075068361836799/718f622d9fb742a09da180682d762493/artifacts,0.7737435698509216,9.0,9.046106882113751e-06,9.046106882113751e-06,0.009997533634305,0.7297618985176086,0.7297618985176086,0.7237634658813477,0.7737435698509216,0.8222222328186035,0.0,0.0,0.8225868940353394,0.8284236192703247,0.6363343000411987,0.7057774066925049,0.7235117554664612,0.7751609086990356,0.8222222328186035,0.8225868940353394,0.8809596300125122,0.6001217365264893,0.6993810534477234,0.7818009257316589,0.6771978139877319,0.7122917771339417,0.0,0.0,0.6944214701652527,0.6944214701652527,0.814643919467926,0.814643919467926,0.8006888628005981,0.8473075032234192,0.939393937587738,0.0,0.0,0.5955306887626648,0.8983758687973022,0.5932232141494751,0.8209459185600281,0.7708483338356018,0.8046528697013855,0.800000011920929,0.5955306887626648,0.9783424735069275,0.5190703272819519,0.7697181105613708,0.8304939270019531,0.6920937895774841,0.8794788122177124
f00fd99dae294b84bd01d9760c1082fa,delightful-fox-72,FINISHED,2026-01-26_23-31-16,2026-01-26_23-39-42,mlflow-artifacts:/665075068361836799/f00fd99dae294b84bd01d9760c1082fa/artifacts,0.8277087807655334,9.0,9.046106882113751e-06,9.046106882113751e-06,0.009997533634305,0.7739596366882324,0.7739596366882324,0.7743054032325745,0.8277087807655334,0.9523810148239136,0.0,0.0,0.6933056116104126,0.8584138751029968,0.56623375415802,0.797537624835968,0.7407284379005432,0.7655553817749023,0.8632478713989258,0.6933056116104126,0.9737119674682617,0.4672008752822876,0.7617595791816711,0.767530083656311,0.7185440063476562,0.8368421196937561,0.0,0.0,0.7001781463623047,0.7001781463623047,0.7050793766975403,0.7050793766975403,0.675329864025116,0.7293393611907959,0.8222222328186035,0.0,0.0,0.8544924855232239,0.7976725697517395,0.6531614661216736,0.5721283555030823,0.6743207573890686,0.7138881683349609,0.8055555820465088,0.8544924855232239,0.8725168704986572,0.5876288414001465,0.5890065431594849,0.7346541881561279,0.7351450324058533,0.5561904907226562
8a3b4750ffad4ac68671512abd273fd0,calm-duck-346,FINISHED,2026-01-26_23-22-28,2026-01-26_23-30-56,mlflow-artifacts:/665075068361836799/8a3b4750ffad4ac68671512abd273fd0/artifacts,0.7017057538032532,9.0,9.046106882113751e-06,9.046106882113751e-06,0.009997533634305,0.7213984131813049,0.7213984131813049,0.7252994775772095,0.7017057538032532,0.6666666865348816,0.0,0.0,0.7648159265518188,0.8036603927612305,0.6676925420761108,0.7283194065093994,0.733224093914032,0.7154484391212463,0.682539701461792,0.7648159265518188,0.9095438122749329,0.5734313726425171,0.8170077204704285,0.7198588848114014,0.7990392446517944,0.6570002436637878,0.0,0.0,0.6736075282096863,0.6736075282096863,0.751984179019928,0.751984179019928,0.733593225479126,0.7628525495529175,1.0,0.0,0.0,0.7704915404319763,0.8461018204689026,0.7294647097587585,0.6396621465682983,0.7384095788002014,0.7724868059158325,1.0,0.7704915404319763,0.9127370119094849,0.6867693662643433,0.6449864506721497,0.7885342836380005,0.7778204083442688,0.6344249844551086
292d83d70da6483dacc05c2f298c75f1,marvelous-vole-878,RUNNING,2026-01-26_23-16-21,unknown_time,mlflow-artifacts:/665075068361836799/292d83d70da6483dacc05c2f298c75f1/artifacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f50cf04940014ec6a14fd70f122c6439,brawny-doe-128,FINISHED,2026-01-26_23-06-00,2026-01-26_23-14-30,mlflow-artifacts:/665075068361836799/f50cf04940014ec6a14fd70f122c6439/artifacts,0.7629486918449402,9.0,9.046106882113751e-06,9.046106882113751e-06,0.009997533634305,0.7397392392158508,0.7397392392158508,0.7332900762557983,0.7629486918449402,0.8222222328186035,0.0,0.0,0.7847321629524231,0.8344351649284363,0.6534859538078308,0.7126592397689819,0.7335267663002014,0.7647790312767029,0.8222222328186035,0.7847321629524231,0.8874962329864502,0.61208575963974,0.7137051224708557,0.7873610258102417,0.7008928656578064,0.7116163969039917,0.0,0.0,0.6610838174819946,0.6610838174819946,0.8097328543663025,0.8097328543663025,0.7995319962501526,0.8414071202278137,0.9090909361839294,0.0,0.0,0.6119600534439087,0.8949374556541443,0.5917882323265076,0.8114740252494812,0.7660666108131409,0.787205159664154,0.7473683953285217,0.6119600534439087,0.9848395586013794,0.5164347290992737,0.7487760186195374,0.8200759887695312,0.6928883790969849,0.8856315612792969
